team,matches_played,matches_won,win_pct,total_runs,total_wickets,fours,sixes
Chennai Super Kings,57,25,43.859649122807014,9965,339,789,445
Delhi Capitals,55,25,45.45454545454545,9596,323,865,418
Gujarat Titans,60,37,61.66666666666667,10649,362,947,395
Kolkata Knight Riders,55,28,50.90909090909091,9355,335,790,480
Lucknow Super Giants,57,30,52.63157894736842,10242,324,795,484
Mumbai Indians,60,26,43.333333333333336,10642,357,913,516
Punjab Kings,59,28,47.45762711864407,10648,336,907,526
Rajasthan Royals,60,30,50.0,10623,330,913,507
Royal Challengers Bengaluru,60,34,56.666666666666664,10717,350,892,499
Sunrisers Hyderabad,57,25,43.859649122807014,10144,310,822,479
